Ball Pos: 650.000000 450.000000 || Enemy pos: 650.000000 450.000000 || Robot dist: 325.000000 || Angle error: 0.000000
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 169.787552 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 164.726257 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 159.651459 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 154.560425 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 149.450027 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 144.316666 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 139.156219 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 133.964279 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 128.736160 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 123.467300 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 118.153687 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 112.792862 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 107.385277 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 101.936325 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 96.459236 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 90.978668 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 85.534241 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 80.183029 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 74.998528 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 70.063591 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 65.458054 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 61.243572 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 57.453239 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 54.089554 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 51.130482 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 48.538906 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 46.271667 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 44.285603 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 42.540852 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 41.002438 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 39.640385 || Angle error: -0.018659
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 38.429359 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 37.348114 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 36.378891 || Angle error: -0.018659
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 35.506851 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.719425 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.006104 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 33.357979 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 32.767422 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 32.228024 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 31.734102 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 31.280897 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 30.864199 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 30.480404 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 30.126278 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 650.000000 450.000000 || Enemy pos: 650.000000 450.000000 || Robot dist: 325.000000 || Angle error: 0.000000
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 290.050507 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 285.050171 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 280.049774 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 275.049225 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 270.048584 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 265.047760 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 260.046753 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 255.045441 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 250.043839 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 245.041809 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 240.039291 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 235.036163 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 230.032242 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 225.027374 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 220.021317 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 215.013779 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 210.004425 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 204.992844 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 199.978485 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 194.960739 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 189.938797 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 184.911774 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 179.878525 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 174.837662 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 169.787552 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 164.726257 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 159.651459 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 154.560425 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 149.450027 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 144.316666 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 139.156219 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 133.964279 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 128.736160 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 123.467300 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 118.153687 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 112.792862 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 107.385277 || Angle error: -0.018661
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 101.936325 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 96.459236 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 90.978668 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 85.534241 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 80.183029 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 74.998528 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 70.063591 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 65.458054 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 61.243572 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 57.453239 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 54.089554 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 51.130482 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 48.538906 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 46.271667 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 44.285603 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 42.540852 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 41.002438 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 39.640385 || Angle error: -0.018659
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 38.429359 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 37.348114 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 36.378891 || Angle error: -0.018659
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 35.506851 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.719425 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.006104 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 33.357979 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 32.767422 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 32.228024 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 31.734102 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 31.280897 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 30.864199 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 30.480404 || Angle error: -0.018660
Ball Pos: 615.000000 449.997681 || Enemy pos: 650.000000 450.000000 || Robot dist: 30.126278 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
Ball Pos: 620.200073 449.900665 || Enemy pos: 650.000000 450.000000 || Robot dist: 34.999989 || Angle error: -0.018659
